window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
3132,0,6,0.0033566283527761698,0.01018472295254469,2.6013386249542236,2.6013386249542236,5.527595135762899e-15,1.2832654192607151e-06,1.2832654192607151e-06
3133,0,6,0.004226570948958397,0.012047040276229382,2.9190351963043213,2.9190354347229004,5.941369883463677e-15,1.1856299124701764e-06,1.1856299124701764e-06
3134,0,6,0.005819527432322502,0.015100311487913132,3.425225019454956,3.425225019454956,5.605769077014419e-15,9.814625627768692e-07,9.814625627768692e-07
3135,0,6,0.005513045005500317,0.014961364679038525,3.3338112831115723,3.3338112831115723,5.788208962424681e-15,1.024651851366798e-06,1.024651851366798e-06
3136,0,6,0.004337354097515345,0.010952519252896309,2.957043409347534,2.957043409347534,5.470214582817051e-15,1.1230257541683386e-06,1.1230257541683386e-06
3137,0,6,0.003270868444815278,0.009431382641196251,2.567892074584961,2.56789231300354,6.259567974495122e-15,1.3833772527505062e-06,1.3833772527505062e-06
3138,0,6,0.0038214547093957663,0.010794568806886673,2.7756175994873047,2.7756175994873047,6.100077176241295e-15,1.2634361610253109e-06,1.2634361610253109e-06
3139,0,6,0.00395636772736907,0.0111057935282588,2.824187755584717,2.824187755584717,5.737821937007838e-15,1.2042737580486573e-06,1.2042737580486573e-06
3140,0,6,0.006506758276373148,0.013775904662907124,3.621826171875,3.621826171875,6.166010644372043e-15,9.734637842484517e-07,9.734637842484517e-07
3141,0,6,0.005030517000705004,0.013149598613381386,3.1845757961273193,3.1845755577087402,5.723499033386242e-15,1.066656295733992e-06,1.066656295733992e-06
3142,0,6,0.006090151146054268,0.015543016605079174,3.5039618015289307,3.5039613246917725,6.198410925153941e-15,1.0088489261761424e-06,1.0088489261761424e-06
3143,0,6,0.010764394886791706,0.02142210677266121,4.658435344696045,4.658435344696045,6.459674849602741e-15,7.746588721602166e-07,7.746588721602166e-07
3144,0,6,0.010928565636277199,0.02266116999089718,4.693824291229248,4.693824291229248,6.7032861839142876e-15,7.831812922631798e-07,7.831812922631798e-07
3145,0,6,0.012674283236265182,0.02317201904952526,5.054834842681885,5.054834842681885,6.526151689369153e-15,7.175742666731821e-07,7.175742666731821e-07
3146,0,6,0.009441984817385674,0.02217300608754158,4.362916469573975,4.362915992736816,7.237789808136642e-15,8.755307021601766e-07,8.755307021601766e-07
3147,0,6,0.008292319253087044,0.018687628209590912,4.088681221008301,4.088681221008301,6.722358401271139e-15,9.003737773127796e-07,9.003737773127796e-07
3148,0,6,0.006532208528369665,0.01644999347627163,3.628901958465576,3.6289021968841553,7.767896060813326e-15,1.0904899454544648e-06,1.0904899454544648e-06
3149,0,6,0.00524171581491828,0.0145136509090662,3.2507381439208984,3.2507381439208984,7.114710838702909e-15,1.1650428177745198e-06,1.1650428177745198e-06
3150,0,6,0.0031252193730324507,0.010802660137414932,2.51006817817688,2.51006817817688,7.323558670309718e-15,1.530808276584139e-06,1.530808276584139e-06
3151,0,6,0.0036841253750026226,0.00984618254005909,2.7252883911132812,2.7252883911132812,7.507718032602907e-15,1.4275350395109854e-06,1.4275350395109854e-06
3152,0,6,0.004002898465842009,0.010394374839961529,2.8407468795776367,2.8407468795776367,8.386351238020423e-15,1.447435579393641e-06,1.447435579393641e-06
3153,0,6,0.00386242032982409,0.011758489534258842,2.7904551029205322,2.790454864501953,7.785008667446705e-15,1.4197104292179574e-06,1.4197104292179574e-06
3154,0,6,0.004908872302621603,0.012998697347939014,3.145836353302002,3.145836114883423,8.001708494474562e-15,1.2767343378072837e-06,1.2767343378072837e-06
3155,0,6,0.00421691220253706,0.012613801285624504,2.9156978130340576,2.9156978130340576,8.242630075662102e-15,1.398091740156815e-06,1.398091740156815e-06
3156,0,6,0.0025954358279705048,0.011040863581001759,2.2874438762664795,2.2874438762664795,8.335677491950935e-15,1.7921124708664138e-06,1.7921124708664138e-06
3157,0,6,0.0035430362913757563,0.010422191582620144,2.6725943088531494,2.6725943088531494,7.910423753748966e-15,1.4942114603400114e-06,1.4942114603400114e-06
3158,0,6,0.005992472171783447,0.011104542762041092,3.47574782371521,3.47574782371521,7.683377419270398e-15,1.1323301123411511e-06,1.1323301123411511e-06
3159,0,6,0.004764620680361986,0.01205447968095541,3.0992701053619385,3.0992701053619385,7.870530195999183e-15,1.28525061882101e-06,1.28525061882101e-06
3160,0,6,0.007203252054750919,0.01401888020336628,3.810742139816284,3.810742139816284,9.035113254080279e-15,1.1199599612154998e-06,1.1199599612154998e-06
3161,0,6,0.005063127726316452,0.013692441396415234,3.1948812007904053,3.1948812007904053,7.807272928465284e-15,1.2417673360687331e-06,1.2417673360687331e-06
3162,0,6,0.003915523178875446,0.012183593586087227,2.8095717430114746,2.8095717430114746,7.678822923113011e-15,1.4004009472046164e-06,1.4004009472046164e-06
3163,0,6,0.0030095279216766357,0.011191342957317829,2.463169813156128,2.463170289993286,8.168140304214665e-15,1.6474507447128417e-06,1.6474507447128417e-06
3164,0,6,0.00411092396825552,0.01138651929795742,2.8788230419158936,2.8788228034973145,8.178999266598465e-15,1.410523623235349e-06,1.410523623235349e-06
3165,0,6,0.004655748140066862,0.011934745125472546,3.0636558532714844,3.0636556148529053,8.426905481469064e-15,1.3453626479531522e-06,1.3453626479531522e-06
3166,0,6,0.006717173382639885,0.013086318969726562,3.6799211502075195,3.6799211502075195,8.356384059379513e-15,1.1153622381243622e-06,1.1153622381243622e-06
3167,0,6,0.004827759228646755,0.01267765462398529,3.119737386703491,3.1197376251220703,8.52433544622699e-15,1.3287932461025775e-06,1.3287932461025775e-06
