layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer1,2705,6,2,0.20746031403541565,0.05693284321839518,-0.9680386777226184,0.17772835551172939
layer1,3363,6,2,0.16852892935276031,-1.2915150586141737,-0.25809653576918695,0.520733996552578
layer1,3365,6,2,0.20797647535800934,-1.2696786971399625,-0.527899645898199,0.05802675417673289
layer1,3978,6,2,0.18775972723960876,0.26030019965586987,0.09090797072481116,-0.7534447929835854
layer1,4026,6,2,0.23954759538173676,0.21066678587009652,0.15091290912483496,-0.7344735318740925
layer1,4198,6,2,0.20986534655094147,0.07231240712041585,0.75780643253777,0.2789152895562991
layer1,4374,6,2,0.17497222125530243,-0.8503588614765982,0.2812529965079825,-0.5858500602609745
layer1,4406,6,2,0.19186362624168396,-0.8235994259790694,-0.5066623421892157,0.36557825291956514
layer1,4409,6,2,0.21145819127559662,-0.8651853495392413,0.01454103934560198,-0.6234377162467879
layer1,4435,6,2,0.16583222150802612,-0.9219362521167644,0.5640771409476745,-0.4489727564630447
layer1,4481,6,2,0.1734115034341812,-0.862950093245357,0.0458143321177739,-0.6055680100253336
layer1,4533,6,2,0.20642739534378052,-0.6560878198884025,0.7555092541084603,0.059957866046171066
layer1,4722,6,2,0.15109118819236755,-0.7906843237464223,0.26596697067225133,-0.6063935407501303
layer1,4826,6,2,0.1514299511909485,-0.5834299315469582,-0.5858991513466794,0.2501150457379917
layer1,4891,6,2,0.14905066788196564,-0.3818464997332815,0.5797925601938788,-0.46410871050885394
layer1,4937,6,2,0.14661738276481628,-0.20130901547145677,-0.030348929774473964,-0.6357527982113216
layer1,4955,6,2,0.21851816773414612,-0.021749595970052917,0.24082529976059122,0.6990612164281383
layer1,5584,6,2,0.13760673999786377,0.8076970214720759,-0.5728385167262252,-0.4815664122383529
layer1,5738,6,2,0.18650618195533752,1.0174449261586735,-0.7388386216652778,0.2639528059916439
