window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4461,0,6,344.08929443359375,1.6932337284088135,29.978151321411133,832.876953125,4.040567602725531e-10,6.935310921107884e-07,1.0836413366632769e-06
4462,0,6,225.08592224121094,1.1157190799713135,31.0422306060791,673.6268920898438,1.8516221889086637e-10,6.784654260627576e-07,9.06988987026125e-07
4463,0,6,224.5145263671875,1.222991943359375,34.913978576660156,672.7713012695312,1.916338615570723e-10,6.116627560004417e-07,9.238764846486447e-07
4464,0,6,199.30422973632812,1.050050973892212,36.86067581176758,633.8748168945312,3.972414897024379e-10,5.976529564577504e-07,1.4117865703155985e-06
4465,0,6,198.94175720214844,1.0545023679733276,40.09782028198242,633.2981567382812,1.8997452222446753e-10,5.65811603792099e-07,9.77202830654278e-07
4466,0,6,153.69631958007812,1.3349018096923828,41.95549774169922,556.643310546875,2.162899026547649e-10,5.603039880952565e-07,1.1862777000715141e-06
4467,0,6,219.65423583984375,1.8830596208572388,42.331626892089844,665.4494018554688,3.789950575594503e-10,5.460881311591947e-07,1.3135511380824028e-06
4468,0,6,546.6634521484375,2.897775650024414,45.09738540649414,1049.796875,1.9216438162938942e-10,5.157830287316756e-07,5.928931727794406e-07
4469,0,6,665.5532836914062,3.974769353866577,42.65849685668945,1158.3416748046875,2.194682630074496e-10,5.112460712553002e-07,5.742413122789003e-07
4470,0,6,913.3406982421875,8.776704788208008,36.12126159667969,1356.943115234375,2.3216822908622703e-10,5.682642836291052e-07,5.041792974225245e-07
4471,0,6,759.21630859375,6.8670125007629395,30.941770553588867,1237.1661376953125,2.7057711626810033e-10,7.011738603068807e-07,5.969840231045964e-07
4472,0,6,388.5847473144531,2.8620123863220215,26.759090423583984,885.0914306640625,2.0513465925908747e-10,7.481766033379245e-07,7.265686008395278e-07
4473,0,6,493.5505676269531,3.4923360347747803,23.837862014770508,997.4957885742188,2.3145332872509528e-10,8.641907243145397e-07,6.848034104223188e-07
4474,0,6,206.104248046875,1.0517102479934692,20.322275161743164,644.5977172851562,2.0789407695342987e-10,1.0609828677843325e-06,1.0043326028608135e-06
4475,0,6,296.0680847167969,1.9600023031234741,23.167552947998047,772.5757446289062,2.410065202962386e-10,8.911909503694915e-07,9.022327276397846e-07
4476,0,6,633.1730346679688,5.361051082611084,30.551748275756836,1129.812744140625,1.1612389938520096e-09,7.27682561318943e-07,1.354252390228794e-06
4477,0,6,507.4281005859375,5.245861530303955,31.487730026245117,1011.4222412109375,2.1515679515804464e-10,6.997290711296955e-07,6.511638162010058e-07
4478,0,6,257.4313049316406,2.151796579360962,30.548851013183594,720.4036865234375,2.2494381357596183e-10,7.113749234122224e-07,9.347734248876804e-07
4479,0,6,512.9727783203125,4.004607677459717,31.619461059570312,1016.9331665039062,2.578355862148385e-10,6.675950885437487e-07,7.089641371749167e-07
4480,0,6,281.1546936035156,1.6914526224136353,31.559101104736328,752.8663940429688,2.0623371066452734e-10,7.212569244074984e-07,8.564601898797264e-07
4481,0,6,255.29953002929688,1.659709095954895,32.8442497253418,717.4146728515625,2.0651783061431672e-10,6.723607270942011e-07,8.994018685370975e-07
4482,0,6,240.72425842285156,2.3946752548217773,31.602806091308594,696.634765625,2.3397486725862393e-10,7.136409863051085e-07,9.858814564722707e-07
4483,0,6,264.2838439941406,2.930866003036499,31.153593063354492,729.928955078125,2.531621023926789e-10,7.289358450179861e-07,9.787324870558223e-07
