window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
100,0.05874372646212578,0.06814586506703815,0.10111834032440684,0.07174214080109903
101,0.059267375618219376,0.07179658061366166,0.09952962539629487,0.0748731299495232
102,0.0640406608581543,0.07246732987686424,0.10256200102828122,0.07865313860764972
103,0.07903167605400085,0.06847660219198133,0.10038416162017051,0.07724888251003811
104,0.09248168766498566,0.06357184808401233,0.09736449625933276,0.07390300065366694
105,0.07653314620256424,0.06559408418516323,0.10132104719216774,0.07287613321854206
106,0.04682949557900429,0.06784237288262354,0.09986612429865162,0.07326146372901153
107,0.03958588466048241,0.07121129285937002,0.09746779444171118,0.07085595713086192
108,0.04093534126877785,0.07170223420664178,0.1005749899481268,0.07005805251130216
109,0.05098265781998634,0.06827487412293032,0.09927519854917953,0.0709019583011726
110,0.07510208338499069,0.0631295828978305,0.09642998194712694,0.07220864150804833
111,0.09618163108825684,0.0658777983476714,0.10115868752728474,0.07374753924816148
112,0.10630037635564804,0.06811591321710929,0.10066438061893267,0.07137491219041193
113,0.08490423113107681,0.07094923294334389,0.09819748287821625,0.07448780647624204
114,0.10572471469640732,0.071776167297914,0.10210476579445577,0.0785812363030603
115,0.13338282704353333,0.0678770457711153,0.0997775791500342,0.07548706028805109
116,0.12551496922969818,0.0632598446543175,0.09662752694149258,0.07106614572782116
117,0.06975540518760681,0.0660973372077363,0.10189243674881299,0.07157626125924653
118,0.050449930131435394,0.06865583073832741,0.10078779670182497,0.06990137996255102
119,0.060416728258132935,0.07201495484816042,0.09828292168013646,0.06980455551047149
120,0.08085779845714569,0.07251062298466747,0.10107640537074512,0.07011463253670319
121,0.08781270682811737,0.06879488281252456,0.09859426210049559,0.07225417394645228
122,0.08580832928419113,0.0634961291861851,0.09578197617894685,0.0715578179275337
123,0.053208932280540466,0.06598449480561297,0.10073419598480933,0.07389096138624843
124,0.053360581398010254,0.06812254947580282,0.10012411316645965,0.07160536019261211
125,0.05186210572719574,0.0721307769843538,0.09824053291148092,0.07415091456327318
126,0.04795587807893753,0.0724163038237964,0.10164835318611741,0.07851629427944264
127,0.05013773590326309,0.06863164295409831,0.09986097133752538,0.07625419695327071
128,0.07491419464349747,0.06343405424510169,0.09715785842011354,0.07423157886776867
129,0.07451926916837692,0.06555273971453478,0.1021326990869536,0.07593060127032185
130,0.059811338782310486,0.06791965945967765,0.10093513797983328,0.07378362088016298
131,0.07371816784143448,0.07181416919281068,0.09986323437517429,0.07313228688750338
132,0.09674447029829025,0.07233767931943835,0.10229443375988877,0.07047080951007562
133,0.07808193564414978,0.06915505122944772,0.09933506941079157,0.06941878893937874
134,0.08427843451499939,0.0633148991685575,0.09620875206267376,0.07027272894864457
135,0.07603614777326584,0.06495058260223412,0.10115190931396151,0.07275862187815231
136,0.06803620606660843,0.06750371260243894,0.1021572698417324,0.07153752359667827
137,0.06290749460458755,0.07080585310679989,0.10040145761220652,0.07452938258041032
138,0.07353879511356354,0.07192883113890534,0.10371627162382015,0.07959276029726275
139,0.09497446566820145,0.06829578638586663,0.09989843381859821,0.07597570897519804
140,0.10513979941606522,0.06293147146379226,0.09650278599685903,0.07090936821381842
141,0.06399080157279968,0.06442331406623224,0.10062859367350958,0.07099980012731734
142,0.04719921201467514,0.06668962960560022,0.0990176432318499,0.06940044562929251
143,0.05137108638882637,0.06981663750725729,0.09694891065937367,0.06831693507557815
144,0.07027805596590042,0.0717299617631295,0.10106088356043327,0.0693531449541117
145,0.07742007821798325,0.06808918653305432,0.09784784778457702,0.07153148144339601
146,0.07375942915678024,0.06240288878256838,0.0955012141926168,0.07099427702153131
147,0.0525466613471508,0.06414115194625962,0.10032158222353935,0.07292498740114989
148,0.039614252746105194,0.06634182053130701,0.09875317746361566,0.0707122225990882
149,0.03834724426269531,0.07020798655419838,0.09709925391395444,0.07257141330544534
150,0.036885663866996765,0.07113375526522892,0.09967805843093126,0.07765074864318149
151,0.05414596199989319,0.06744423122284034,0.09704501947073713,0.07462059605825223
152,0.07016102969646454,0.06160523037517896,0.09509535894188734,0.07255395578300429
153,0.06002940610051155,0.06367896215711255,0.09936000216292036,0.07460153355695832
154,0.03489019721746445,0.06607618005789999,0.09846025909693848,0.07380319704853032
155,0.03236854821443558,0.06931153150970658,0.09651285326114595,0.07015272930778448
156,0.044950492680072784,0.07008132099422061,0.09897996603357577,0.0687796225618662
157,0.05066072568297386,0.06692893641468617,0.09722969892834916,0.06793279494261127
